	ID	ref_pop	inferred_cluster_1	inferred_cluster_2
19	NP965824	1	0.8652	0.13479999999999998
27	SC005134	2	0.22569999999999996	0.7743
38	SC005150	2	0.367	0.6329999999999999
47	SC015175	2	0.8133000000000001	0.18669999999999998
103	SC040275	2	0.20550000000000002	0.7945
181	SC930522	2	0.27530000000000004	0.7247
198	SC940543	2	0.2185	0.7815
213	SC940560	2	0.3075	0.6925000000000001
254	SC985089	2	0.22100000000000003	0.779
258	SC985095	2	0.13379999999999997	0.8662000000000001
